iter	Logloss
0	0.6853604517
1	0.6777129469
2	0.6701899979
3	0.6624391473
4	0.6560647184
5	0.6503648712
6	0.6456560645
7	0.6392823829
8	0.6337491562
9	0.6280668932
10	0.6230233221
11	0.6188109405
12	0.6136639348
13	0.6091721158
14	0.6053676097
15	0.6000323681
16	0.595264411
17	0.5904475486
18	0.5857561563
19	0.581633076
20	0.5764928139
21	0.5721149672
22	0.5681683286
23	0.5650838831
24	0.5603849493
25	0.5578991714
26	0.5538532867
27	0.5492901754
28	0.5458081804
29	0.5419453912
30	0.5393657078
31	0.5362601149
32	0.5324545466
33	0.5293695204
34	0.5256337404
35	0.5234429235
36	0.5213054992
37	0.5180307623
38	0.514520106
39	0.5123246732
40	0.5101408032
41	0.5073850833
42	0.5041712612
43	0.5019327979
44	0.4994432293
45	0.4973264157
46	0.4945122255
47	0.4921927586
48	0.4896685645
49	0.4875846048
50	0.4862997892
51	0.4842408401
52	0.4816660129
53	0.4798644078
54	0.4773870165
55	0.4759664594
56	0.4741385103
57	0.4721817437
58	0.4698361878
59	0.4681111846
60	0.4667859281
61	0.4651058245
62	0.463187423
63	0.4614873761
64	0.4594949397
65	0.4570074531
66	0.4550825737
67	0.453951668
68	0.4525861407
69	0.4510695866
70	0.4496080819
71	0.4478355435
72	0.4465816104
73	0.445090351
74	0.4434673522
75	0.4415013724
76	0.4400609062
77	0.4388033537
78	0.437843324
79	0.4369787144
80	0.4350187296
81	0.4346693083
82	0.4332498534
83	0.4319748815
84	0.4304332941
85	0.4297458412
86	0.4280370122
87	0.4264920465
88	0.42557005
89	0.4246974565
90	0.4234687069
91	0.422518175
92	0.4213391578
93	0.4200300015
94	0.41856244
95	0.4177848625
96	0.4167716918
97	0.4156703524
98	0.4145831618
99	0.4136011088
100	0.4125849087
101	0.4116066291
102	0.4106330954
103	0.4095495039
104	0.4082971872
105	0.4072189103
106	0.4061031868
107	0.4048957214
108	0.403869258
109	0.4028992215
110	0.4021432445
111	0.4012083061
112	0.4001661849
113	0.3991133265
114	0.3978531289
115	0.3966678872
116	0.3960659047
117	0.3949941873
118	0.3944127401
119	0.3936425059
120	0.3931984541
121	0.3926716937
122	0.3915136678
123	0.3903752389
124	0.3893086332
125	0.3879667195
126	0.3873412913
127	0.3869098069
128	0.3861142039
129	0.3852853813
130	0.3842233958
131	0.3834277759
132	0.3825803768
133	0.3818971332
134	0.3810399615
135	0.3799626998
136	0.3791364122
137	0.3781616782
138	0.3773582093
139	0.3766522317
140	0.3761586831
141	0.3755764367
142	0.3747271693
143	0.3740562555
144	0.3731598823
145	0.3722345921
146	0.3717610212
147	0.3708753893
148	0.3700392074
149	0.3697140107
150	0.3687204465
151	0.3679123426
152	0.3671122316
153	0.366674671
154	0.3658006671
155	0.3646929882
156	0.3638976203
157	0.3633489147
158	0.3622771793
159	0.3617770159
160	0.3605632554
161	0.3600301553
162	0.3594664738
163	0.3589254543
164	0.3584648344
165	0.3579852065
166	0.3569624558
167	0.3565536964
168	0.3561114444
169	0.3554750609
170	0.3550060635
171	0.3544438091
172	0.3537097871
173	0.3533724352
174	0.3524087748
175	0.3519156797
176	0.35129252
177	0.3504712386
178	0.3501284527
179	0.3494702741
180	0.3485039134
181	0.3479061769
182	0.3472307386
183	0.3465479528
184	0.3457866225
185	0.3451222847
186	0.3444542825
187	0.3435139394
188	0.3431360918
189	0.3425643228
190	0.3419339047
191	0.3414335352
192	0.3409457283
193	0.3402809919
194	0.3397862602
195	0.3392920953
196	0.3387222967
197	0.3378842478
198	0.3374038023
199	0.3366729367
200	0.3360135655
201	0.3355282014
202	0.3352370619
203	0.3343410332
204	0.3339570053
205	0.3331960553
206	0.3326382164
207	0.3314937624
208	0.3309905907
209	0.3306179451
210	0.3297999496
211	0.3292490895
212	0.3289567355
213	0.3283292289
214	0.3279556179
215	0.3275532129
216	0.3268492686
217	0.3260804203
218	0.3255259509
219	0.3249139741
220	0.3243887447
221	0.3239574487
222	0.32347059
223	0.3228451571
224	0.3224627653
225	0.3219540537
226	0.3213239799
227	0.3207404718
228	0.3203941495
229	0.3198139509
230	0.319355752
231	0.3189056801
232	0.3183871832
233	0.3180390197
234	0.3177447958
235	0.317322508
236	0.316950027
237	0.3165553098
238	0.316099845
239	0.3158693119
240	0.3155387996
241	0.3149180921
242	0.3142370458
243	0.3140338818
244	0.3133237515
245	0.312717995
246	0.3120820543
247	0.311919543
248	0.3116152398
249	0.3111693521
250	0.3108095458
251	0.3101575057
252	0.309721852
253	0.3092794494
254	0.3084821194
255	0.3080916643
256	0.3079043495
257	0.3072448851
258	0.3069740512
259	0.3064938102
260	0.3060428129
261	0.3058145576
262	0.3053868637
263	0.3049705037
264	0.3047423308
265	0.3043775996
266	0.3037028851
267	0.3032079769
268	0.3027678284
269	0.3021172419
270	0.3015851226
271	0.3011194078
272	0.300548097
273	0.3002859725
274	0.2998478467
275	0.299264906
276	0.2988041564
277	0.2984678049
278	0.2982850004
279	0.2977192889
280	0.2974282375
281	0.2963928204
282	0.2957044465
283	0.2954865891
284	0.2950417553
285	0.2946009838
286	0.2943158536
287	0.2940291714
288	0.2936335981
289	0.2933909857
290	0.2930913026
291	0.2926035224
292	0.2923885055
293	0.2921741234
294	0.2919224941
295	0.2913838943
296	0.2909150515
297	0.2905364092
298	0.290222329
299	0.2896831096
300	0.2892018781
301	0.2889058915
302	0.2886369639
303	0.2881101534
304	0.2874346755
305	0.2870280163
306	0.2867414485
307	0.2864307551
308	0.2858917067
309	0.2853144627
310	0.2846949702
311	0.2842787031
312	0.2837516161
313	0.2835832465
314	0.2829860675
315	0.2824466026
316	0.2818811824
317	0.281583112
318	0.2810919838
319	0.2806142903
320	0.280084817
321	0.2798069231
322	0.2791857353
323	0.2788071565
324	0.2784857848
325	0.2780528395
326	0.2777352691
327	0.2774502471
328	0.2771569072
329	0.276442516
330	0.2762973375
331	0.2760540852
332	0.2758302054
333	0.2753448845
334	0.2750996478
335	0.274942633
336	0.2747484849
337	0.2744745875
338	0.2742349322
339	0.2739932917
340	0.2734563049
341	0.2731128681
342	0.2726641609
343	0.2722915166
344	0.2717003853
345	0.2713940304
346	0.270985592
347	0.2705772697
348	0.2702387892
349	0.2698148823
350	0.2693026559
351	0.2687134329
352	0.2679157904
353	0.2675791051
354	0.2672587807
355	0.2669594071
356	0.2665373896
357	0.2663087331
358	0.2660381525
359	0.2656611098
360	0.2651974338
361	0.264882374
362	0.2647166201
363	0.2644936546
364	0.2642500871
365	0.2636764935
366	0.2632934334
367	0.2627374382
368	0.2623270224
369	0.2618022272
370	0.2613056889
371	0.2607481309
372	0.260498386
373	0.2600513449
374	0.259745204
375	0.2592995162
376	0.2588803649
377	0.2586250726
378	0.2582982148
379	0.2580279152
380	0.2575817028
381	0.2572407189
382	0.2570024706
383	0.2565823623
384	0.2564212477
385	0.2561546314
386	0.2558073411
387	0.2553518795
388	0.2548777346
389	0.2545270219
390	0.2541030782
391	0.253413906
392	0.2532935954
393	0.2531166942
394	0.2527313289
395	0.2526095561
396	0.2524454716
397	0.2519342058
398	0.2515211462
399	0.2513834821
400	0.2510825748
401	0.2507063399
402	0.250548151
403	0.250188755
404	0.2498372733
405	0.2496240629
406	0.2493977084
407	0.2492280336
408	0.2485599558
409	0.2482244613
410	0.2480365786
411	0.2479746821
412	0.2475227951
413	0.2469967936
414	0.2466431596
415	0.2465186724
416	0.2460198142
417	0.2455531747
418	0.2451817987
419	0.2447430956
420	0.2445044829
421	0.2441788936
422	0.2436664618
423	0.2433246884
424	0.2427413225
425	0.2426067156
426	0.2424370414
427	0.2417648621
428	0.2415683554
429	0.2412652067
430	0.2409767759
431	0.2405426696
432	0.2404701279
433	0.2402316624
434	0.239819635
435	0.2393941224
436	0.2388476192
437	0.2387413471
438	0.2383814337
439	0.2380723391
440	0.2376412578
441	0.2371599626
442	0.2367805228
443	0.2365980979
444	0.2362351396
445	0.2361290228
446	0.2359640339
447	0.2357092157
448	0.2354598388
449	0.235108733
450	0.2348857951
451	0.2345089075
452	0.2340704591
453	0.2339322312
454	0.2334903776
455	0.2332286476
456	0.2329313399
457	0.2326290434
458	0.232313719
459	0.2319381327
460	0.2314060996
461	0.2310989275
462	0.2305999373
463	0.2302896271
464	0.2298804654
465	0.2294415472
466	0.2290841471
467	0.2286359543
468	0.2284156287
469	0.2278602152
470	0.2274865019
471	0.2272222648
472	0.2269441157
473	0.2267010057
